Element Number	Bending Stress (MPa)
985	-0.52622
986	-0.52622
987	-0.52641
988	-0.52528
989	-0.52585
990	-0.52358
991	-0.52452
992	-0.52112
993	-0.52245
994	-0.51961
995	-0.51168
996	-0.50661
997	-0.51169
998	-0.50924
999	-0.51603
1000	-0.51395
1001	-0.51961
1002	-0.51792
1003	-0.52245
1004	-0.52112
1005	-0.52452
1006	-0.52358
1007	-0.52584
1008	-0.52528
1009	-0.52641
1010	-0.52622
1011	-0.52623
1012	-0.52641
1013	-0.5253
1014	-0.52586
1015	-0.52362
1016	-0.52456
1017	-0.5225
1018	-0.51397
1019	-0.51606
1020	-0.5117
1021	-0.50375
1022	-0.50376
1023	-0.50376
1024	-0.50364
1025	-0.51293
1026	-0.51446
1027	-0.51087
1028	-0.50357
1029	-0.50863
1030	-0.50619
1031	-0.51293
1032	-0.51087
1033	-0.51649
1034	-0.5148
1035	-0.5193
1036	-0.51799
1037	-0.52136
1038	-0.52042
1039	-0.52267
1040	-0.52211
1041	-0.52324
1042	-0.52305
1043	-0.52305
1044	-0.52324
1045	-0.52212
1046	-0.52268
1047	-0.52043
1048	-0.52137
1049	-0.518
1050	-0.51931
1051	-0.51482
1052	-0.5165
1053	-0.51088
1054	-0.51294
1055	-0.5062
1056	-0.50863
1057	-0.51655
1058	-0.51805
1059	-0.51485
1060	-0.50076
1061	-0.5036
1062	-0.5008
1063	-0.50357
1064	-0.50076
1065	-0.50076
1066	-0.50357
1067	-0.50862
1068	-0.50619
1069	-0.51293
1070	-0.51087
1071	-0.51649
1072	-0.5148
1073	-0.5193
1074	-0.51799
1075	-0.52136
1076	-0.52042
1077	-0.52268
1078	-0.52212
1079	-0.52324
1080	-0.52306
1081	-0.52302
1082	-0.52323
1083	-0.52203
1084	-0.52262
1085	-0.52032
1086	-0.52127
1087	-0.51789
1088	-0.51919
1089	-0.51473
1090	-0.5164
1091	-0.51079
1092	-0.51285
1093	-0.50606
1094	-0.50852
1095	-0.50382
1096	-0.50106
1097	-0.50064
1098	-0.50344
1099	-0.50888
1100	-0.50648
1101	-0.51302
1102	-0.51101
1103	-0.51653
1104	-0.51486
1105	-0.5193
1106	-0.518
1107	-0.52136
1108	-0.52043
1109	-0.52268
1110	-0.52211
1111	-0.52324
1112	-0.52305
1113	-0.52305
1114	-0.52324
1115	-0.52212
1116	-0.52268
1117	-0.52043
1118	-0.52137
1119	-0.51799
1120	-0.5193
1121	-0.51649
1122	-0.50619
1123	-0.50863
1124	-0.50076
1125	-0.50357
1126	-0.50864
1127	-0.50621
1128	-0.51294
1129	-0.51088
1130	-0.51649
1131	-0.51481
1132	-0.5193
1133	-0.51799
1134	-0.52137
1135	-0.52043
1136	-0.52268
1137	-0.52212
1138	-0.52324
1139	-0.52305
1140	-0.52306
1141	-0.52324
1142	-0.52213
1143	-0.52269
1144	-0.52047
1145	-0.52139
1146	-0.51935
1147	-0.5109
1148	-0.51297
1149	-0.5062
1150	-0.50864
1151	-0.50077
1152	-0.50357
1153	-0.49777
1154	-0.49776
1155	-0.49777
1156	-0.49767
1157	-0.50963
1158	-0.51114
1159	-0.50759
1160	-0.51469
1161	-0.5132
1162	-0.49756
1163	-0.49458
1164	-0.49459
1165	-0.50035
1166	-0.49756
1167	-0.50536
1168	-0.50295
1169	-0.50963
1170	-0.50759
1171	-0.51316
1172	-0.51149
1173	-0.51595
1174	-0.51465
1175	-0.51799
1176	-0.51706
1177	-0.51929
1178	-0.51873
1179	-0.51985
1180	-0.51966
1181	-0.51967
1182	-0.51985
1183	-0.51874
1184	-0.5193
1185	-0.51707
1186	-0.518
1187	-0.51465
1188	-0.51595
1189	-0.5115
1190	-0.51317
1191	-0.5076
1192	-0.50964
1193	-0.50295
1194	-0.50537
1195	-0.49756
1196	-0.50035
1197	-0.49756
1198	-0.49459
1199	-0.49459
1200	-0.49457
1201	-0.50034
1202	-0.49755
1203	-0.50536
1204	-0.50294
1205	-0.50963
1206	-0.50759
1207	-0.51316
1208	-0.51149
1209	-0.51595
1210	-0.51464
1211	-0.51799
1212	-0.51706
1213	-0.5193
1214	-0.51874
1215	-0.51985
1216	-0.51967
1217	-0.51963
1218	-0.51984
1219	-0.51864
1220	-0.51922
1221	-0.51695
1222	-0.51788
1223	-0.51455
1224	-0.51584
1225	-0.5114
1226	-0.51307
1227	-0.5075
1228	-0.50955
1229	-0.50282
1230	-0.50526
1231	-0.49744
1232	-0.50022
1233	-0.49449
1234	-0.49487
1235	-0.50048
1236	-0.49778
1237	-0.50535
1238	-0.50295
1239	-0.5097
1240	-0.50766
1241	-0.51318
1242	-0.51154
1243	-0.51596
1244	-0.51466
1245	-0.51799
1246	-0.51706
1247	-0.5193
1248	-0.51874
1249	-0.51985
1250	-0.51967
1251	-0.51967
1252	-0.51985
1253	-0.51874
1254	-0.51929
1255	-0.51706
1256	-0.51799
1257	-0.51465
1258	-0.51595
1259	-0.51316
1260	-0.50294
1261	-0.50536
1262	-0.50034
1263	-0.49465
1264	-0.50038
1265	-0.49761
1266	-0.50538
1267	-0.50297
1268	-0.50964
1269	-0.5076
1270	-0.51316
1271	-0.51149
1272	-0.51595
1273	-0.51465
1274	-0.51799
1275	-0.51707
1276	-0.51929
1277	-0.51874
1278	-0.51985
1279	-0.51967
1280	-0.51967
1281	-0.51985
1282	-0.51875
1283	-0.5193
1284	-0.51709
1285	-0.51802
1286	-0.51599
1287	-0.50762
1288	-0.51153
1289	-0.50967
1290	-0.50296
1291	-0.50538
1292	-0.50035
1293	-0.49143
1294	-0.49143
1295	-0.49143
1296	-0.49137
1297	-0.50612
1298	-0.50762
1299	-0.50409
1300	-0.4912
1301	-0.49691
1302	-0.49415
1303	-0.50188
1304	-0.49949
1305	-0.50612
1306	-0.50409
1307	-0.50961
1308	-0.50796
1309	-0.51238
1310	-0.51109
1311	-0.5144
1312	-0.51348
1313	-0.51569
1314	-0.51514
1315	-0.51624
1316	-0.51606
1317	-0.51606
1318	-0.51625
1319	-0.51514
1320	-0.51569
1321	-0.51349
1322	-0.51441
1323	-0.51109
1324	-0.51238
1325	-0.50796
1326	-0.50962
1327	-0.5041
1328	-0.50612
1329	-0.49949
1330	-0.50189
1331	-0.49415
1332	-0.49691
1333	-0.48807
1334	-0.49127
1335	-0.48814
1336	-0.49119
1337	-0.48805
1338	-0.48807
1339	-0.4912
1340	-0.49691
1341	-0.49414
1342	-0.50188
1343	-0.49949
1344	-0.50612
1345	-0.50409
1346	-0.50961
1347	-0.50796
1348	-0.51238
1349	-0.51109
1350	-0.5144
1351	-0.51348
1352	-0.5157
1353	-0.51514
1354	-0.51624
1355	-0.51607
1356	-0.51601
1357	-0.51622
1358	-0.51504
1359	-0.51561
1360	-0.51336
1361	-0.51429
1362	-0.51099
1363	-0.51226
1364	-0.50788
1365	-0.50953
1366	-0.504
1367	-0.50604
1368	-0.49937
1369	-0.50177
1370	-0.49403
1371	-0.49678
1372	-0.49143
1373	-0.48835
1374	-0.488
1375	-0.4911
1376	-0.49707
1377	-0.49434
1378	-0.50197
1379	-0.49961
1380	-0.50617
1381	-0.50416
1382	-0.50964
1383	-0.50799
1384	-0.51238
1385	-0.5111
1386	-0.5144
1387	-0.51349
1388	-0.51569
1389	-0.51513
1390	-0.51624
1391	-0.51606
1392	-0.51606
1393	-0.51625
1394	-0.51514
1395	-0.51569
1396	-0.51348
1397	-0.5144
1398	-0.51109
1399	-0.51238
1400	-0.50962
1401	-0.49949
1402	-0.50188
1403	-0.49415
1404	-0.49691
1405	-0.48808
1406	-0.49121
1407	-0.49696
1408	-0.49421
1409	-0.50191
1410	-0.49952
1411	-0.50613
1412	-0.50411
1413	-0.50962
1414	-0.50796
1415	-0.51238
1416	-0.51109
1417	-0.5144
1418	-0.51348
1419	-0.51569
1420	-0.51514
1421	-0.51625
1422	-0.51606
1423	-0.51606
1424	-0.51625
1425	-0.51515
1426	-0.5157
1427	-0.5135
1428	-0.51442
1429	-0.51112
1430	-0.51241
1431	-0.50799
1432	-0.50965
1433	-0.50412
1434	-0.50615
1435	-0.49951
1436	-0.50191
1437	-0.49417
1438	-0.49693
1439	-0.48808
1440	-0.49121
1441	-0.48476
1442	-0.48477
1443	-0.48476
1444	-0.48472
1445	-0.50239
1446	-0.50391
1447	-0.50038
1448	-0.4845
1449	-0.48121
1450	-0.48123
1451	-0.48761
1452	-0.48451
1453	-0.49327
1454	-0.49053
1455	-0.49819
1456	-0.49582
1457	-0.50238
1458	-0.50038
1459	-0.50585
1460	-0.50421
1461	-0.50858
1462	-0.50731
1463	-0.51059
1464	-0.50968
1465	-0.51187
1466	-0.51132
1467	-0.51242
1468	-0.51223
1469	-0.51223
1470	-0.51242
1471	-0.51132
1472	-0.51187
1473	-0.50968
1474	-0.51059
1475	-0.50731
1476	-0.50859
1477	-0.50421
1478	-0.50585
1479	-0.50038
1480	-0.50239
1481	-0.49582
1482	-0.49819
1483	-0.49053
1484	-0.49327
1485	-0.4845
1486	-0.48761
1487	-0.48452
1488	-0.48124
1489	-0.48122
1490	-0.48124
1491	-0.48762
1492	-0.48453
1493	-0.49327
1494	-0.49054
1495	-0.49819
1496	-0.49582
1497	-0.50239
1498	-0.50038
1499	-0.50585
1500	-0.50421
1501	-0.50858
1502	-0.50731
1503	-0.51059
1504	-0.50968
1505	-0.51187
1506	-0.51133
1507	-0.51241
1508	-0.51224
1509	-0.51218
1510	-0.51239
1511	-0.51122
1512	-0.51179
1513	-0.50955
1514	-0.51047
1515	-0.5072
1516	-0.50847
1517	-0.50413
1518	-0.50576
1519	-0.50028
1520	-0.5023
1521	-0.49569
1522	-0.49807
1523	-0.4904
1524	-0.49313
1525	-0.48443
1526	-0.4875
1527	-0.48117
1528	-0.48144
1529	-0.48778
1530	-0.4847
1531	-0.49339
1532	-0.49068
1533	-0.49826
1534	-0.49592
1535	-0.50241
1536	-0.50042
1537	-0.50588
1538	-0.50423
1539	-0.50861
1540	-0.50735
1541	-0.5106
1542	-0.5097
1543	-0.51187
1544	-0.51133
1545	-0.51242
1546	-0.51223
1547	-0.51223
1548	-0.51242
1549	-0.51132
1550	-0.51187
1551	-0.50968
1552	-0.51059
1553	-0.50731
1554	-0.50859
1555	-0.50585
1556	-0.49582
1557	-0.49819
1558	-0.49053
1559	-0.49327
1560	-0.48762
1561	-0.48128
1562	-0.48767
1563	-0.48456
1564	-0.4933
1565	-0.49058
1566	-0.49821
1567	-0.49585
1568	-0.50239
1569	-0.50039
1570	-0.50585
1571	-0.50421
1572	-0.50859
1573	-0.50731
1574	-0.51059
1575	-0.50968
1576	-0.51187
1577	-0.51132
1578	-0.51242
1579	-0.51223
1580	-0.51224
1581	-0.51242
1582	-0.51133
1583	-0.51187
1584	-0.50969
1585	-0.5106
1586	-0.50733
1587	-0.5086
1588	-0.50424
1589	-0.50588
1590	-0.50041
1591	-0.50242
1592	-0.49584
1593	-0.49822
1594	-0.49053
1595	-0.49327
1596	-0.48761
1597	-0.47773
1598	-0.47778
1599	-0.47777
1600	-0.47772
1601	-0.49843
1602	-0.5
1603	-0.49645
1604	-0.4775
1605	-0.47406
1606	-0.47757
1607	-0.47413
1608	-0.47752
1609	-0.47414
1610	-0.48381
1611	-0.48075
1612	-0.48941
1613	-0.4867
1614	-0.49428
1615	-0.49193
1616	-0.49843
1617	-0.49645
1618	-0.50186
1619	-0.50024
1620	-0.50457
1621	-0.50331
1622	-0.50655
1623	-0.50565
1624	-0.50782
1625	-0.50728
1626	-0.50836
1627	-0.50818
1628	-0.50818
1629	-0.50836
1630	-0.50728
1631	-0.50782
1632	-0.50565
1633	-0.50656
1634	-0.50331
1635	-0.50457
1636	-0.50024
1637	-0.50186
1638	-0.49645
1639	-0.49843
1640	-0.49193
1641	-0.49428
1642	-0.48669
1643	-0.4894
1644	-0.48072
1645	-0.4838
1646	-0.47404
1647	-0.47747
1648	-0.48384
1649	-0.48078
1650	-0.48942
1651	-0.48672
1652	-0.49428
1653	-0.49194
1654	-0.49843
1655	-0.49645
1656	-0.50186
1657	-0.50024
1658	-0.50457
