Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Directional Deformation (mm)
716	1000.	150.	0.	0.
717	1000.	160.	0.	0.
718	1000.	170.	0.	0.
719	1000.	180.	0.	0.
720	1000.	190.	0.	0.
721	1000.	200.	0.	0.
722	1000.	210.	0.	0.
723	1000.	220.	0.	0.
724	1000.	230.	0.	0.
725	1000.	240.	0.	0.
726	1000.	250.	0.	0.
727	1000.	260.	0.	0.
728	1000.	270.	0.	0.
729	1000.	280.	0.	0.
730	1000.	290.	0.	0.
731	1000.	300.	0.	0.
732	1000.	310.	0.	0.
733	1000.	320.	0.	0.
734	1000.	330.	0.	0.
735	1000.	340.	0.	0.
736	1000.	350.	0.	0.
737	1000.	360.	0.	0.
738	1000.	370.	0.	0.
739	1000.	380.	0.	0.
740	1000.	390.	0.	0.
741	1000.	400.	0.	0.
742	1000.	410.	0.	0.
743	1000.	420.	0.	0.
744	1000.	430.	0.	0.
745	1000.	440.	0.	0.
746	1000.	450.	0.	0.
747	1000.	460.	0.	0.
748	1000.	470.	0.	0.
749	1000.	480.	0.	0.
750	1000.	490.	0.	0.
751	1000.	500.	0.	0.
752	1000.	510.	0.	0.
753	1000.	520.	0.	0.
754	1000.	530.	0.	0.
755	1000.	540.	0.	0.
756	1000.	550.	0.	0.
757	1000.	560.	0.	0.
758	1000.	570.	0.	0.
759	1000.	580.	0.	0.
760	1000.	590.	0.	0.
761	1000.	600.	0.	0.
762	1000.	610.	0.	0.
763	1000.	620.	0.	0.
764	1000.	630.	0.	0.
765	1000.	640.	0.	0.
766	1000.	650.	0.	0.
767	1000.	660.	0.	0.
768	1000.	670.	0.	0.
769	1000.	680.	0.	0.
770	1000.	690.	0.	0.
771	1000.	700.	0.	0.
772	1000.	710.	0.	0.
773	1000.	720.	0.	0.
774	1000.	730.	0.	0.
775	1000.	740.	0.	0.
776	1000.	750.	0.	0.
777	1000.	760.	0.	0.
778	1000.	770.	0.	0.
779	1000.	780.	0.	0.
780	1000.	790.	0.	0.
781	1000.	800.	0.	0.
782	1000.	810.	0.	0.
783	1000.	820.	0.	0.
784	1000.	830.	0.	0.
785	1000.	840.	0.	0.
786	1000.	850.	0.	0.
787	1000.	860.	0.	0.
788	1000.	870.	0.	0.
