Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Shear Elastic Strain (mm/mm)
14481	290.16	720.25	0.	-1.4962e-006
14481	290.16	720.25	0.	1.4962e-006
14482	310.08	720.07	0.	-1.5881e-006
14482	310.08	720.07	0.	1.5881e-006
14483	320.05	720.03	0.	-1.633e-006
14483	320.05	720.03	0.	1.633e-006
14484	340.01	720.01	0.	-1.7208e-006
14484	340.01	720.01	0.	1.7208e-006
14485	350.01	720.	0.	-1.7636e-006
14485	350.01	720.	0.	1.7636e-006
14486	370.01	720.	0.	-1.847e-006
14486	370.01	720.	0.	1.847e-006
14487	380.01	720.	0.	-1.8875e-006
14487	380.01	720.	0.	1.8875e-006
14488	390.02	720.	0.	-1.9271e-006
14488	390.02	720.	0.	1.9271e-006
14489	410.05	720.	0.	-2.0035e-006
14489	410.05	720.	0.	2.0035e-006
14490	430.08	720.01	0.	-2.0759e-006
14490	430.08	720.01	0.	2.0759e-006
14491	450.08	720.02	0.	-2.1437e-006
14491	450.08	720.02	0.	2.1437e-006
14492	460.08	720.01	0.	-2.1759e-006
14492	460.08	720.01	0.	2.1759e-006
14493	470.06	720.01	0.	-2.2068e-006
14493	470.06	720.01	0.	2.2068e-006
14494	480.05	720.01	0.	-2.2364e-006
14494	480.05	720.01	0.	2.2364e-006
14495	490.03	720.	0.	-2.2646e-006
14495	490.03	720.	0.	2.2646e-006
14496	510.01	720.	0.	-2.3169e-006
14496	510.01	720.	0.	2.3169e-006
14497	520.01	720.	0.	-2.3408e-006
14497	520.01	720.	0.	2.3408e-006
14498	530.01	719.99	0.	-2.3631e-006
14498	530.01	719.99	0.	2.3631e-006
14499	550.01	719.98	0.	-2.4029e-006
14499	550.01	719.98	0.	2.4029e-006
14500	560.01	719.98	0.	-2.4201e-006
14500	560.01	719.98	0.	2.4201e-006
14501	570.01	719.99	0.	-2.4355e-006
14501	570.01	719.99	0.	2.4355e-006
14502	590.	719.99	0.	-2.4605e-006
14502	590.	719.99	0.	2.4605e-006
14503	600.	720.	0.	-2.47e-006
14503	600.	720.	0.	2.47e-006
14504	610.	720.	0.	-2.4774e-006
14504	610.	720.	0.	2.4774e-006
14505	629.99	720.	0.	-2.4855e-006
14505	629.99	720.	0.	2.4855e-006
14506	659.96	720.	0.	-2.4799e-006
14506	659.96	720.	0.	2.4799e-006
14507	669.93	720.	0.	-2.473e-006
14507	669.93	720.	0.	2.473e-006
14508	689.86	720.03	0.	-2.4511e-006
14508	689.86	720.03	0.	2.4511e-006
14509	719.95	690.02	0.	-2.4511e-006
14509	719.95	690.02	0.	2.4511e-006
14510	719.99	670.01	0.	-2.473e-006
14510	719.99	670.01	0.	2.473e-006
14511	719.99	660.	0.	-2.4799e-006
14511	719.99	660.	0.	2.4799e-006
14512	720.	650.	0.	-2.4842e-006
14512	720.	650.	0.	2.4842e-006
14513	720.	630.	0.	-2.4855e-006
14513	720.	630.	0.	2.4855e-006
14514	720.	610.	0.	-2.4774e-006
14514	720.	610.	0.	2.4774e-006
14515	720.	590.	0.	-2.4605e-006
14515	720.	590.	0.	2.4605e-006
14516	720.	570.	0.	-2.4355e-006
14516	720.	570.	0.	2.4355e-006
14517	720.	550.	0.	-2.4028e-006
14517	720.	550.	0.	2.4028e-006
14518	720.	530.	0.	-2.3631e-006
14518	720.	530.	0.	2.3631e-006
14519	720.	520.	0.	-2.3408e-006
14519	720.	520.	0.	2.3408e-006
14520	720.	510.	0.	-2.3169e-006
14520	720.	510.	0.	2.3169e-006
14521	720.	500.	0.	-2.2914e-006
14521	720.	500.	0.	2.2914e-006
14522	720.	490.	0.	-2.2645e-006
14522	720.	490.	0.	2.2645e-006
14523	720.	470.	0.	-2.2066e-006
14523	720.	470.	0.	2.2066e-006
14524	720.	450.	0.	-2.1435e-006
14524	720.	450.	0.	2.1435e-006
14525	720.	430.	0.	-2.0756e-006
14525	720.	430.	0.	2.0756e-006
14526	720.	420.	0.	-2.04e-006
14526	720.	420.	0.	2.04e-006
14527	720.	410.	0.	-2.0033e-006
14527	720.	410.	0.	2.0033e-006
14528	720.	400.	0.	-1.9656e-006
14528	720.	400.	0.	1.9656e-006
14529	720.	390.	0.	-1.927e-006
14529	720.	390.	0.	1.927e-006
14530	720.	380.	0.	-1.8874e-006
14530	720.	380.	0.	1.8874e-006
14531	720.	370.	0.	-1.847e-006
14531	720.	370.	0.	1.847e-006
14532	720.	360.	0.	-1.8057e-006
14532	720.	360.	0.	1.8057e-006
14533	720.	350.	0.	-1.7636e-006
14533	720.	350.	0.	1.7636e-006
14534	720.	340.	0.	-1.7207e-006
14534	720.	340.	0.	1.7207e-006
14535	720.	330.	0.	-1.6771e-006
