Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Elastic Strain (mm/mm)
11485	-380.	-630.	0.	5.4742e-007
11486	-390.	-630.	0.	-5.3618e-007
11486	-390.	-630.	0.	5.3618e-007
11487	-410.	-629.99	0.	-5.1207e-007
11487	-410.	-629.99	0.	5.1207e-007
11488	-429.99	-629.97	0.	-4.8565e-007
11488	-429.99	-629.97	0.	4.8565e-007
11489	-449.95	-629.96	0.	-4.5673e-007
11489	-449.95	-629.96	0.	4.5673e-007
11490	-509.83	-630.03	0.	-3.529e-007
11490	-509.83	-630.03	0.	3.529e-007
11491	-529.88	-630.02	0.	-3.1178e-007
11491	-529.88	-630.02	0.	3.1178e-007
11492	-549.94	-630.01	0.	-2.6704e-007
11492	-549.94	-630.01	0.	2.6704e-007
11493	-569.98	-630.	0.	-2.1847e-007
11493	-569.98	-630.	0.	2.1847e-007
11494	-579.99	-630.	0.	-1.9268e-007
11494	-579.99	-630.	0.	1.9268e-007
11495	-589.99	-630.	0.	-1.6584e-007
11495	-589.99	-630.	0.	1.6584e-007
11496	-600.	-630.	0.	-1.3792e-007
11496	-600.	-630.	0.	1.3792e-007
11497	-610.	-630.	0.	-1.0887e-007
11497	-610.	-630.	0.	1.0887e-007
11498	-639.99	540.05	0.	-6.5452e-010
11498	-639.99	540.05	0.	6.5452e-010
11499	-639.99	550.05	0.	-2.522e-009
11499	-639.99	550.05	0.	2.522e-009
